name,price,year,state
chevrolet door,23800,2015,florida
chevrolet door,8900,2014,florida
chevrolet ld,28300,2019,indiana
chevrolet ld,27300,2019,indiana
chevrolet door,3500,2013,new jersey
chevrolet colorado,28300,2020,indiana
chevrolet impala,18300,2019,indiana
dodge charger,22500,2018,wisconsin
dodge charger,22500,2018,wisconsin
dodge door,8300,2012,wisconsin
dodge caravan,16500,2019,nebraska
dodge journey,14500,2019,nebraska
dodge charger,30000,2019,ontario
dodge charger,30000,2019,ontario
dodge charger,30000,2019,ontario
dodge charger,30000,2019,ontario
dodge charger,30000,2019,ontario
dodge charger,29500,2019,ontario
dodge challenger,21600,2019,washington
dodge charger,22600,2019,washington
dodge caravan,16300,2019,washington
dodge door,8600,2012,washington
dodge durango,28800,2019,texas
dodge challenger,22100,2019,texas
dodge journey,14300,2018,north carolina
dodge caravan,13700,2018,north carolina
dodge challenger,29500,2017,arizona
dodge journey,18500,2017,texas
dodge door,19000,2016,colorado
dodge challenger,43400,2015,arizona
dodge challenger,46000,2015,arizona
dodge journey,12500,2018,texas
dodge charger,13900,2017,florida
dodge caravan,13000,2018,california
dodge caravan,13000,2018,california
dodge door,3000,2013,texas
dodge caravan,17500,2019,florida
dodge door,7900,2017,california
dodge door,8900,2014,florida
dodge caravan,11500,2018,pennsylvania
dodge journey,6500,2017,pennsylvania
