name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Ickenham Library,Community Close,Ickenham,,Hillingdon,,100023413527.0,E09000017,Ickenham,E05000333,-0.4435006165134365,51.56352250077634,507985.9707617552,186107.92236380305,04/11/2021
Roxeth,Northolt Road,Harrow,,Harrow,,200000307802.0,E09000015,Roxeth,E05000302,-0.3565204536052971,51.5626149763032,514016.9691258691,186138.92235590584,04/11/2021
Harrow Green Community Library,Cathall Road,Leytonstone,,Waltham Forest,,100022963778.0,E09000031,Cathall,E05000591,0.0064737742843295,51.55812975111253,539189.9622795356,186267.92231885804,04/11/2021
North Library,Manor Gardens,,,Islington,,5300060053.0,E09000019,Finsbury Park,E05000371,-0.1217561244734165,51.56041527433732,530294.9646982616,186285.9223163136,04/11/2021
Leyton Library,High Road Leyton,Leyton,,Waltham Forest,,10009148520.0,E09000031,Leyton,E05000604,-0.0075364583673785,51.55873732719498,538216.9625455157,186308.922309493,04/11/2021
Childs Hill ,Cricklewood Lane,,,Barnet,,200219960.0,E09000003,Childs Hill,E05000045,-0.2006677922917506,51.56217404481561,524820.4961557946,186343.9923075181,04/11/2021
Redbridge Central Library,Clements Road,Ilford,,Redbridge,,100023043071.0,E09000026,Ilford Town,E05011246,0.0753281013182245,51.55806438964066,543962.960980725,186393.92228495312,04/11/2021
Upminster Library,Corbets Tey Road,Upminster,,Havering,,100023215782.0,E09000016,Upminster,E05000323,0.2481217868387063,51.55515048342357,555950.1176925879,186423.90225828148,04/11/2021
Stoke Newington Library,Stoke Newington Church Street,,,Hackney,,100023154905.0,E09000012,Clissold,E05009369,-0.0827958241165067,51.561618902981415,532991.9639629127,186489.92226024,04/11/2021
Valence,Becontree Avenue,Dagenham,,Barking and Dagenham,,100002559.0,E09000002,Valence,E05000040,0.1338671341018102,51.55857898754098,548018.9598799705,186567.92223930883,04/11/2021
Goodmayes Library,Goodmayes Lane,Ilford,,Redbridge,,100023050383.0,E09000026,Mayfield,E05011248,0.1089911895134916,51.55940253279035,546292.0603260266,186609.5021829428,04/11/2021
Highgate Library,Chester Road,,,Camden,,5090720.0,E09000007,Highgate,E05000137,-0.1440680527613475,51.56377376316141,528738.965122946,186619.9222251962,04/11/2021
