Greener Homes Program - Eligible Ground Source Heat Pumps,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Note- Direct Expansion systems are not eligible,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CL- Closed loop,,,,,,,,,,,,,,,,
OL - Open loop,,,,,,,,,,,,,,,,
COP - Coefficient of performance,,,,,,,,,,,,,,,,
,,,CLOSED LOOP (CL),,,,,,OPEN LOOP (OL),,,,,,,
AHRI Certified Reference No.,Brand name,Model number,"CL Cooling capacity
kW", CL Cooling capacity Btu/hour,"CL Heating capacity
kW","CL Heating capacity
Btu/hour",CL COP cooling ,CL COP heating,"OL Cooling capacity
kW","OL Cooling capacity
Btu/hour","OL Heating capacity 
kW","OL Heating capacity
Btu/hour",OL COP cooling,OL COP heating,,
7520244,Tetco,TVS030*3***1,9.2,31400,6.8,23200,5.98,4.2,9.96,34000,8.56,29200,8.06,5.1,,
7519572,Tetco,TVS030*4,8.82,30100,6.54,22300,5.42,3.9,9.09,31000,8.41,28700,6.86,4.7,,
7519563,Tetco,TVS030*A,8.82,30100,6.54,22300,5.42,3.9,9.09,31000,8.41,28700,6.86,4.7,,
7520248,Tetco,TVS030*A***1,9.2,31400,6.8,23200,5.98,4.2,9.96,34000,8.56,29200,8.06,5.1,,
7170614,Tetco,TVS036,11.08,37800,8.85,30200,5.28,3.9,11.87,40500,11.02,37600,6.89,4.6,,
7520252,Tetco,TVS036*****1,11.37,38800,8.67,29600,5.63,3.9,12.19,41600,10.81,36900,7.47,4.8,,
7519578,Tetco,TVS036*2,11.08,37800,8.85,30200,5.28,3.9,11.87,40500,11.02,37600,6.89,4.6,,
7520255,Tetco,TVS036*2***1,11.37,38800,8.67,29600,5.63,3.9,12.19,41600,10.81,36900,7.47,4.8,,
7519581,Tetco,TVS036*3,11.08,37800,8.85,30200,5.28,3.9,11.87,40500,11.02,37600,6.89,4.6,,
7520258,Tetco,TVS036*3***1,11.37,38800,8.67,29600,5.63,3.9,12.19,41600,10.81,36900,7.47,4.8,,
7519584,Tetco,TVS036*4,11.08,37800,8.85,30200,5.28,3.9,11.87,40500,11.02,37600,6.89,4.6,,
7519575,Tetco,TVS036*A,11.08,37800,8.85,30200,5.28,3.9,11.87,40500,11.02,37600,6.89,4.6,,
7520261,Tetco,TVS036*A***1,11.37,38800,8.67,29600,5.63,3.9,12.19,41600,10.81,36900,7.47,4.8,,
203143143,Tetco,TVS041,11.34,38700,9.11,31100,5.01,3.6,12.13,41400,11.4,38900,6.54,4.1,,
203143781,Tetco,TVS041*****1,11.66,39800,9.14,31200,5.22,3.7,12.6,43000,11.49,39200,6.92,4.4,,
203143148,Tetco,TVS041*2,11.34,38700,9.11,31100,5.01,3.6,12.13,41400,11.4,38900,6.54,4.1,,
203143785,Tetco,TVS041*2***1,11.66,39800,9.14,31200,5.22,3.7,12.6,43000,11.49,39200,6.92,4.4,,
203143153,Tetco,TVS041*3,11.34,38700,9.11,31100,5.01,3.6,12.13,41400,11.4,38900,6.54,4.1,,
203143790,Tetco,TVS041*3***1,11.66,39800,9.14,31200,5.22,3.7,12.6,43000,11.49,39200,6.92,4.4,,
203143157,Tetco,TVS041*4,11.34,38700,9.11,31100,5.01,3.6,12.13,41400,11.4,38900,6.54,4.1,,
8738053,Tetco,TVS042,12.78,43600,9.38,32000,5.45,3.8,13.69,46700,11.49,39200,7.15,4.7,,
8735905,Tetco,TVS042*****1,13.01,44400,9.11,31100,6.21,4.1,13.98,47700,11.22,38300,8.32,5,,
8738056,Tetco,TVS042*2,12.78,43600,9.38,32000,5.45,3.8,13.69,46700,11.49,39200,7.15,4.7,,
8735908,Tetco,TVS042*2***1,13.01,44400,9.11,31100,6.21,4.1,13.98,47700,11.22,38300,8.32,5,,
8738059,Tetco,TVS042*3,12.78,43600,9.38,32000,5.45,3.8,13.69,46700,11.49,39200,7.15,4.7,,
8735911,Tetco,TVS042*3***1,13.01,44400,9.11,31100,6.21,4.1,13.98,47700,11.22,38300,8.32,5,,
8738062,Tetco,TVS042*4,12.78,43600,9.38,32000,5.45,3.8,13.69,46700,11.49,39200,7.15,4.7,,
8738069,Tetco,TVS048,14.8,50500,11.61,39600,5.16,3.6,15.65,53400,14.1,48100,6.62,4.4,,
8740370,Tetco,TVS048*****1,15.12,51600,11.34,38700,5.89,3.9,16.09,54900,13.92,47500,7.74,4.8,,
8738072,Tetco,TVS048*2,14.8,50500,11.61,39600,5.16,3.6,15.65,53400,14.1,48100,6.62,4.4,,
8740373,Tetco,TVS048*2***1,15.12,51600,11.34,38700,5.89,3.9,16.09,54900,13.92,47500,7.74,4.8,,
8738075,Tetco,TVS048*3,14.8,50500,11.61,39600,5.16,3.6,15.65,53400,14.1,48100,6.62,4.4,,
8740376,Tetco,TVS048*3***1,15.12,51600,11.34,38700,5.89,3.9,16.09,54900,13.92,47500,7.74,4.8,,
