CREATED,BIC NUMBER,ACCOUNT NAME,CITY,STATE,MARKET,APPLICATION TYPE
03/24/2020,HPA-483494,US FRESH CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
08/13/2018,HPP-171,"VEG-PAK DIST. CO., INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
11/26/2020,HPP-486895,LEXI LOGISTICS LLC,BRONX,NY,Hunts Point Produce Market,Market Business
02/08/2019,FFM-97,SLIP KIDS LOADING INC.,STATEN ISLAND,NY,Hunts Point New Fulton Fish Market,Loader
09/24/2019,FFM-97,SLIP KIDS LOADING INC.,STATEN ISLAND,NY,Hunts Point New Fulton Fish Market,Loader
04/29/2019,HPM-50,WESTERN WHOLESALE MEATS INC.,SPARTA,NJ,Hunts Point Meat Market,Public Wholesale Market
05/01/2020,BMM-1,"CHOW TRADING CO., INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
10/22/2018,GMM-12,"J.T. JOBBAGY, INC.",NEW YORK,NY,Gansevoort Meat Market,Public Wholesale Market
05/08/2017,HPM-33,"NEBRASKALAND, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
05/29/2017,HPP-42,"HENRY HAAS, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
03/05/2021,HPP-483195,"GLOBAL BLOOM, LLC",BRONX,NY,Hunts Point Produce Market,Market Business
07/06/2018,FFM-111,"THIRD GENERATION SEAFOOD, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
12/25/2018,HPP-103,"J. MARGIOTTA COMPANY, LLC",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
