"Name (Firstname, Surname)",Start date of trip (DD/MM/YYYY),Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Steve Buckingham,2017-11-23,1 Day,Manchester,Departmental Business,Car/Rail,Standard,,,£126.90,
Steve Buckingham,2017-11-27,1 Day,Leeds,Departmental Business,Car/Rail,Standard,,,£104.40,
Steve Buckingham,2017-11-28,1 Day,Oldham,Departmental Business,Car,Standard,,,£83.82,
Steve Buckingham,2017-11-29,1 Day,Sheffield,Departmental Business,Car/Rail,Standard,,,£155.60,
Steve Buckingham,2017-12-06,2 Days,Sheffield/London,Departmental Business,Car/Rail,Standard,,,£182.70,
Steve Buckingham,2017-12-08,1 Day,Portsmouth,Navy Audit Committee,Rail/Air/Car,Standard,,,£200.83,
Steve Buckingham,2017-12-18,1 Day,Leeds,Departmental Business,Car/Rail,Standard,,,£81.20,
Steve Buckingham,2017-12-19,1 Day,Birmingham,Departmental Business,Car/Rail,Standard,,,£418.60,
,,,,,,,,,,
Lorraine Jainudeen,2017-10-03,2 Days,Blackpool ,Departmental Business ,Rail ,Standard ,£78.33,,£255.75,
Lorraine Jainudeen,2017-10-11,2 Days,Sheffield ,Departmental Business ,Rail ,Standard ,£75.60,,£263.60,
Lorraine Jainudeen,2017-10-16,1 Day,Leeds ,Departmental Business ,Rail ,Standard ,,,£185.00,
Lorraine Jainudeen,2017-10-18,1 Day,Bristol ,Departmental Business ,Rail ,Standard ,,,£188.00,
Lorraine Jainudeen,2017-10-31,3 Days,Swindon,Business Acumen Course ,Rail ,Standard ,,,£129.00,
Lorraine Jainudeen,2017-11-20,3 Days,Liverpool ,Departmental Business ,Rail ,Standard ,£45.89,,£383.14,
Lorraine Jainudeen,2017-11-27,1 Day,Birmingham,Departmental Business ,Rail ,Standard ,£4.15,,£146.25,
Lorraine Jainudeen,2017-12-05,2 Days,Sheffield ,Departmental Business ,Rail ,Standard ,£76.20,,£284.20,
,,,,,,,,,,
Ian Pavey,2017-10-04,2 Days,London,Departmental Business,Rail,Standard,£144.00,,£333.60,
Ian Pavey,2017-10-11,2 Days,Sheffield,Departmental Business,Car,,£90.35,,£97.35,
Ian Pavey,2017-10-18,2 Days,London,Departmental Business,Rail,Standard,£164.00,,£353.60,
Ian Pavey,2017-10-25,1 Day,London,Departmental Business,Rail,Standard,,,£181.10,
Ian Pavey,2017-11-08,1 Day,London,Departmental Business,Rail,Standard,,,£181.10,
Ian Pavey,2017-11-13,1 Day,London,Departmental Business,Rail,Standard,,,£189.60,
Ian Pavey,2017-11-15,2 Days,London,Departmental Business,Rail,Standard,£170.00,,£380.70,
Ian Pavey,2017-11-22,1 Day,London,Departmental Business,Rail,Standard,,,£181.10,
Ian Pavey,2017-12-04,1 Day,London,Departmental Business,Rail,Standard,,,£181.10,
Ian Pavey,2017-12-06,2 Days,Sheffield,Departmental Business,Car,,£95.00,,£120.50,
Ian Pavey,2017-12-13,1 Day,London,Departmental Business,Rail,Standard,,,£181.10,
Ian Pavey,2017-12-20,1 Day,London,Departmental Business,Rail,Standard,,,£206.30,
,,,,,,,,,,
