name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,longitude,latitude,easting,northing,runtime
Fox,Richmond Upon Thames,www.thefoxtwickenham.co.uk,100000000000.0,E09000027,Twickenham Riverside,E05000531,39 Church Street,Richmond Upon Thames,,-0.3270701704953442,51.44664582885487,516352.9684868137,173288.92584743386,04/11/2021
Riva Lounge,Lewisham,,100000000000.0,E09000023,Rushey Green,E05000451,3 Bromley Road,Lewisham,,-0.0200119990795265,51.44384022512336,537697.9626851799,173508.9257862519,04/11/2021
Patchworks,Richmond Upon Thames,www.cabbagepatch.co.ukwhats-on,100000000000.0,E09000027,Twickenham Riverside,E05000531,67 London Road,Richmond Upon Thames,,-0.3299701627921004,51.44880938281385,516145.96854343126,173524.92578232285,04/11/2021
Kings Head,Bexley,www.kingsheadbexley.co.uk,200000000000.0,E09000004,St. Mary's & St. James,E05011229,65 Bexley High Street,Bexley,,0.1499038213182351,51.44182744932127,549511.9594728149,173617.92575985682,04/11/2021
Nuvo Lounge,Lewisham,,10070773731.0,E09000023,Rushey Green,E05000451,177 Rushey Green,Lewisham,,-0.019477216967163,51.44489234962153,537731.9626761273,173626.92575412447,04/11/2021
The Broadway Theatre,Lewisham,www.broadwaytheatre.org.uk,10091912968.0,E09000023,Rushey Green,E05000451,Old Town Hall Rushey Green,Lewisham,,-0.0213058567216342,51.445202002350975,537603.9627107689,173657.9257457606,04/11/2021
Crown,Richmond Upon Thames,www.crowntwickenham.co.uk,100000000000.0,E09000027,Twickenham Riverside,E05000531,174 Richmond Road,Richmond Upon Thames,,-0.31862809461828,51.45119203049291,516927.9683316777,173807.9257082693,04/11/2021
Black Horse,Bexley,,100000000000.0,E09000004,St. Mary's & St. James,E05011229,63 Albert Road,Bexley,,0.1500021493871427,51.44483828067951,549508.9594734288,173952.92566801253,04/11/2021
St Stephen's Church,Richmond Upon Thames,https://www.st-stephens.org.uk/,0.0,E09000027,Twickenham Riverside,E05000531,Richmond Road East Twickenham Middlesex Tw1 2pd ,,,-0.3128739984214603,51.45289700059724,517323.39998626674,174006.7172179296,04/11/2021
Marlborough,Richmond Upon Thames,www.themarlboroughrichmond.co.uk,100000000000.0,E09000027,South Richmond,E05000528,46 Friars Stile Road,Richmond Upon Thames,,-0.2967934203290022,51.455094374161526,518434.96792220126,174276.92557809484,04/11/2021
Florence,Lambeth,www.florencehernehill.com,100000000000.0,E09000022,Herne Hill,E05000423,131-133 Dulwich Road,Lambeth,,-0.1029904332213053,51.45277594506903,531905.9642593109,174349.92555940774,04/11/2021
Lord Northbrook,Lewisham,www.thelordnorthbrook.co.uk,100000000000.0,E09000023,Lee Green,E05000447,116 Burnt Ash Road,Lewisham,,0.0121448544491212,51.45090993312184,539910.962083859,174355.925557842,04/11/2021
Gigalum,Lambeth,www.gigalum.com,200000000000.0,E09000022,Clapham Common,E05000418,42954 Cavendish Parade,Clapham Common South Side,Lambeth,-0.1463645956205516,51.45364982141842,528889.9650786184,174369.9255535981,04/11/2021
Eltham Gpo,Greenwich,www.elthamgpo.com,100000000000.0,E09000011,Eltham South,E05000219,4 Passey Place,Greenwich,,0.0537435205874462,51.45034151744308,542802.9612971006,174372.92554997077,04/11/2021
Off The Cuff,Lambeth,www.offthecuffbar.com,100000000000.0,E09000022,Herne Hill,E05000423,301-303 Railton Road,Lambeth,,-0.1020897170352604,51.4529771892171,531967.9642424079,174373.92555273452,04/11/2021
The White Horse,Lambeth,,100000000000.0,E09000022,Brixton Hill,E05000417,94 Brixton Hill,Lambeth,,-0.1200488805223182,51.45481343393497,530714.9645829145,174545.9255066681,04/11/2021
Herne Tavern,Southwark,www.thehernetavern.co.uk,200000000000.0,E09000028,Dulwich Hill,E05011099,2 Forest Hill Road,Southwark,,-0.0631658229617086,51.45411184889624,534668.9635093412,174570.92549895245,04/11/2021
Station,Lewisham,www.stationhotelhithergreen.co.uk,0.0,E09000023,Lee Green,E05000447,14 Staplehurst Rd Hither Green,London,,3.411350831017293e-05,51.453068503903886,539062.9623140501,174572.925496827,04/11/2021
The Hootananny Brixton,Lambeth,www.hootanannybrixton.co.uk,100000000000.0,E09000022,Herne Hill,E05000423,95 Effra Road,Lambeth,,-0.113229539400236,51.45543226131768,531186.9644546539,174626.92548430397,04/11/2021
Great Exhibition,Southwark,www.greatexhibition.pub,200000000000.0,E09000028,Goose Green,E05011103,193 Crystal Palace Road,Southwark,,-0.0716388235400599,51.45490809762683,534077.9636695483,174643.92547818925,04/11/2021
Effra Social,Lambeth,www.effrasocial.com,100000000000.0,E09000022,Herne Hill,E05000423,89 Effra Road,Lambeth,,-0.1134356721004698,51.45566939349145,531171.9644586137,174652.92547721748,04/11/2021
Rivoli Ballroom,Lewisham,www.rivoliballroom.com,100000000000.0,E09000023,Crofton Park,E05000441,350 Brockley Road,Lewisham,,-0.0372376708852496,51.455245089349695,536466.9630183375,174744.92545206734,04/11/2021
The Mct At Alleyn's,Southwark,www.mct.alleyns.org.uk,0.0,E09000028,Goose Green,E05011103,Alleyn's School Townley Road,East Dulwich,,-0.0814319983214273,51.45666799955181,533392.4608030495,174821.7481828705,04/11/2021
Crayford Arms,Bexley,www.crayfordarms.co.uk,10011862323.0,E09000004,Crayford,E05011222,37 Crayford High Street,Bexley,,0.1769133033423346,51.452696084648565,551352.9589739455,174881.9254138306,04/11/2021
The Duke,Richmond Upon Thames,,100000000000.0,E09000027,South Richmond,E05000528,2 Duke Street,Richmond Upon Thames,,-0.3041729003900636,51.46143317340943,517905.96806598327,174969.92538927688,04/11/2021
Fox & Firkin,Lewisham,www.foxfirkin.com,100000000000.0,E09000023,Lewisham Central,E05000448,316 Lewisham High Street,Lewisham,,-0.0144053715301223,51.45698291273962,538047.9625893887,174980.92538739793,04/11/2021
Red Cow,Richmond Upon Thames,www.redcowpub.com,100000000000.0,E09000027,South Richmond,E05000528,59 Sheen Road,Richmond Upon Thames,,-0.2968056334204612,51.46173106909816,518416.9679279037,175014.9253772883,04/11/2021
Bar Nuvo,Lewisham,,100000000000.0,E09000023,Lewisham Central,E05000448,286 Lewisham High Street,Lewisham,,-0.0137074825189175,51.45747469573864,538094.9625766431,175036.92537219002,04/11/2021
Ivy House,Southwark,www.ivyhousenunhead.com,10013526983.0,E09000028,Peckham Rye,E05011111,40 Stuart Road,Southwark,,-0.0520811693903954,51.45820868707518,535426.9633032379,175046.92536990636,04/11/2021
Gremio De Brixton,Lambeth,,10090196516.0,E09000022,Tulse Hill,E05000435,Lambeth ,,,-0.1160774838516151,51.45967772582018,530976.9645097248,175093.92535721982,04/11/2021
