Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins
10/08/1997 13:00,120101,1,60,1,East Bound,2,South,252,0,,6,0,
10/08/1997 13:00,120101,1,60,2,West Bound,2,South,254,0,,6,0,
10/08/1997 14:00,120101,1,60,1,East Bound,2,South,260,0,,6,0,
10/08/1997 14:00,120101,1,60,2,West Bound,2,South,254,0,,6,0,
10/08/1997 15:00,120101,1,60,1,East Bound,2,South,240,0,,6,0,
10/08/1997 15:00,120101,1,60,2,West Bound,2,South,227,0,,6,0,
10/08/1997 16:00,120101,1,60,1,East Bound,2,South,227,0,,6,0,
10/08/1997 16:00,120101,1,60,2,West Bound,2,South,226,0,,6,0,
10/08/1997 17:00,120101,1,60,1,East Bound,2,South,211,0,,6,0,
10/08/1997 17:00,120101,1,60,2,West Bound,2,South,188,0,,6,0,
10/08/1997 18:00,120101,1,60,1,East Bound,2,South,220,0,,6,0,
10/08/1997 18:00,120101,1,60,2,West Bound,2,South,160,0,,6,0,
10/08/1997 19:00,120101,1,60,1,East Bound,2,South,208,0,,6,0,
10/08/1997 19:00,120101,1,60,2,West Bound,2,South,151,0,,6,0,
10/08/1997 20:00,120101,1,60,1,East Bound,2,South,181,0,,6,0,
10/08/1997 20:00,120101,1,60,2,West Bound,2,South,115,0,,6,0,
10/08/1997 21:00,120101,1,60,1,East Bound,2,South,103,0,,6,0,
10/08/1997 21:00,120101,1,60,2,West Bound,2,South,96,0,,6,0,
10/08/1997 22:00,120101,1,60,1,East Bound,2,South,75,0,,6,0,
10/08/1997 22:00,120101,1,60,2,West Bound,2,South,64,0,,6,0,
10/08/1997 23:00,120101,1,60,1,East Bound,2,South,42,0,,6,0,
10/08/1997 23:00,120101,1,60,2,West Bound,2,South,23,0,,6,0,
11/08/1997 00:00,120101,1,60,1,East Bound,2,South,18,0,,6,0,
11/08/1997 00:00,120101,1,60,2,West Bound,2,South,11,0,,6,0,
11/08/1997 01:00,120101,1,60,1,East Bound,2,South,11,0,,6,0,
11/08/1997 01:00,120101,1,60,2,West Bound,2,South,5,0,,6,0,
11/08/1997 02:00,120101,1,60,1,East Bound,2,South,3,0,,6,0,
11/08/1997 02:00,120101,1,60,2,West Bound,2,South,2,0,,6,0,
11/08/1997 03:00,120101,1,60,1,East Bound,2,South,4,0,,6,0,
11/08/1997 03:00,120101,1,60,2,West Bound,2,South,2,0,,6,0,
11/08/1997 04:00,120101,1,60,1,East Bound,2,South,10,0,,6,0,
11/08/1997 04:00,120101,1,60,2,West Bound,2,South,8,0,,6,0,
11/08/1997 05:00,120101,1,60,1,East Bound,2,South,28,0,,6,0,
11/08/1997 05:00,120101,1,60,2,West Bound,2,South,29,0,,6,0,
11/08/1997 06:00,120101,1,60,1,East Bound,2,South,52,0,,6,0,
11/08/1997 06:00,120101,1,60,2,West Bound,2,South,58,0,,6,0,
11/08/1997 07:00,120101,1,60,1,East Bound,2,South,169,0,,6,0,
11/08/1997 07:00,120101,1,60,2,West Bound,2,South,184,0,,6,0,
11/08/1997 08:00,120101,1,60,1,East Bound,2,South,169,0,,6,0,
11/08/1997 08:00,120101,1,60,2,West Bound,2,South,261,0,,6,0,
11/08/1997 09:00,120101,1,60,1,East Bound,2,South,153,0,,6,0,
11/08/1997 09:00,120101,1,60,2,West Bound,2,South,187,0,,6,0,
11/08/1997 10:00,120101,1,60,1,East Bound,2,South,160,0,,6,0,
11/08/1997 10:00,120101,1,60,2,West Bound,2,South,203,0,,6,0,
11/08/1997 11:00,120101,1,60,1,East Bound,2,South,173,0,,6,0,
11/08/1997 11:00,120101,1,60,2,West Bound,2,South,213,0,,6,0,
11/08/1997 12:00,120101,1,60,1,East Bound,2,South,203,0,,6,0,
11/08/1997 12:00,120101,1,60,2,West Bound,2,South,197,0,,6,0,
11/08/1997 13:00,120101,1,60,1,East Bound,2,South,180,0,,6,0,
11/08/1997 13:00,120101,1,60,2,West Bound,2,South,227,0,,6,0,
11/08/1997 14:00,120101,1,60,1,East Bound,2,South,233,0,,6,0,
11/08/1997 14:00,120101,1,60,2,West Bound,2,South,188,0,,6,0,
11/08/1997 15:00,120101,1,60,1,East Bound,2,South,204,0,,6,0,
11/08/1997 15:00,120101,1,60,2,West Bound,2,South,228,0,,6,0,
11/08/1997 16:00,120101,1,60,1,East Bound,2,South,251,0,,6,0,
11/08/1997 16:00,120101,1,60,2,West Bound,2,South,206,0,,6,0,
11/08/1997 17:00,120101,1,60,1,East Bound,2,South,288,0,,6,0,
11/08/1997 17:00,120101,1,60,2,West Bound,2,South,233,0,,6,0,
11/08/1997 18:00,120101,1,60,1,East Bound,2,South,200,0,,6,0,
11/08/1997 18:00,120101,1,60,2,West Bound,2,South,188,0,,6,0,
11/08/1997 19:00,120101,1,60,1,East Bound,2,South,133,0,,6,0,
11/08/1997 19:00,120101,1,60,2,West Bound,2,South,125,0,,6,0,
11/08/1997 20:00,120101,1,60,1,East Bound,2,South,103,0,,6,0,
11/08/1997 20:00,120101,1,60,2,West Bound,2,South,103,0,,6,0,
11/08/1997 21:00,120101,1,60,1,East Bound,2,South,75,0,,6,0,
11/08/1997 21:00,120101,1,60,2,West Bound,2,South,77,0,,6,0,
11/08/1997 22:00,120101,1,60,1,East Bound,2,South,58,0,,6,0,
11/08/1997 22:00,120101,1,60,2,West Bound,2,South,39,0,,6,0,
11/08/1997 23:00,120101,1,60,1,East Bound,2,South,26,0,,6,0,
11/08/1997 23:00,120101,1,60,2,West Bound,2,South,37,0,,6,0,
12/08/1997 00:00,120101,1,60,1,East Bound,2,South,17,0,,6,0,
12/08/1997 00:00,120101,1,60,2,West Bound,2,South,10,0,,6,0,
12/08/1997 01:00,120101,1,60,1,East Bound,2,South,8,0,,6,0,
12/08/1997 01:00,120101,1,60,2,West Bound,2,South,6,0,,6,0,
12/08/1997 02:00,120101,1,60,1,East Bound,2,South,7,0,,6,0,
12/08/1997 02:00,120101,1,60,2,West Bound,2,South,4,0,,6,0,
12/08/1997 03:00,120101,1,60,1,East Bound,2,South,1,0,,6,0,
12/08/1997 03:00,120101,1,60,2,West Bound,2,South,0,0,,6,0,
12/08/1997 04:00,120101,1,60,1,East Bound,2,South,6,0,,6,0,
12/08/1997 04:00,120101,1,60,2,West Bound,2,South,7,0,,6,0,
12/08/1997 05:00,120101,1,60,1,East Bound,2,South,24,0,,6,0,
12/08/1997 05:00,120101,1,60,2,West Bound,2,South,31,0,,6,0,
12/08/1997 06:00,120101,1,60,1,East Bound,2,South,60,0,,6,0,
12/08/1997 06:00,120101,1,60,2,West Bound,2,South,67,0,,6,0,
12/08/1997 07:00,120101,1,60,1,East Bound,2,South,171,0,,6,0,
12/08/1997 07:00,120101,1,60,2,West Bound,2,South,185,0,,6,0,
12/08/1997 08:00,120101,1,60,1,East Bound,2,South,162,0,,6,0,
12/08/1997 08:00,120101,1,60,2,West Bound,2,South,223,0,,6,0,
12/08/1997 09:00,120101,1,60,1,East Bound,2,South,128,0,,6,0,
12/08/1997 09:00,120101,1,60,2,West Bound,2,South,186,0,,6,0,
12/08/1997 10:00,120101,1,60,1,East Bound,2,South,172,0,,6,0,
12/08/1997 10:00,120101,1,60,2,West Bound,2,South,214,0,,6,0,
12/08/1997 11:00,120101,1,60,1,East Bound,2,South,189,0,,6,0,
12/08/1997 11:00,120101,1,60,2,West Bound,2,South,172,0,,6,0,
12/08/1997 12:00,120101,1,60,1,East Bound,2,South,173,0,,6,0,
12/08/1997 12:00,120101,1,60,2,West Bound,2,South,189,0,,6,0,
12/08/1997 13:00,120101,1,60,1,East Bound,2,South,174,0,,6,0,
12/08/1997 13:00,120101,1,60,2,West Bound,2,South,209,0,,6,0,
12/08/1997 14:00,120101,1,60,1,East Bound,2,South,199,0,,6,0,
12/08/1997 14:00,120101,1,60,2,West Bound,2,South,188,0,,6,0,
12/08/1997 15:00,120101,1,60,1,East Bound,2,South,203,0,,6,0,
12/08/1997 15:00,120101,1,60,2,West Bound,2,South,190,0,,6,0,
12/08/1997 16:00,120101,1,60,1,East Bound,2,South,209,0,,6,0,
12/08/1997 16:00,120101,1,60,2,West Bound,2,South,197,0,,6,0,
12/08/1997 17:00,120101,1,60,1,East Bound,2,South,292,0,,6,0,
12/08/1997 17:00,120101,1,60,2,West Bound,2,South,208,0,,6,0,
12/08/1997 18:00,120101,1,60,1,East Bound,2,South,159,0,,6,0,
12/08/1997 18:00,120101,1,60,2,West Bound,2,South,174,0,,6,0,
12/08/1997 19:00,120101,1,60,1,East Bound,2,South,136,0,,6,0,
12/08/1997 19:00,120101,1,60,2,West Bound,2,South,146,0,,6,0,
12/08/1997 20:00,120101,1,60,1,East Bound,2,South,105,0,,6,0,
12/08/1997 20:00,120101,1,60,2,West Bound,2,South,99,0,,6,0,
12/08/1997 21:00,120101,1,60,1,East Bound,2,South,91,0,,6,0,
12/08/1997 21:00,120101,1,60,2,West Bound,2,South,96,0,,6,0,
