Key-Clé,CoAppNm,CoAppRoleCD,CoAppRoleEN,CoAppRoleFR,CoAppOrgID,CoAppOrgNm,ProvinceEN,ProvinceFR,CountryEN,PaysFR,FiscalYear-AnnéeFinancière
794974,"Tone, Andrea",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200405
977777,"Arbour, Laura T",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CAAA,University of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200405
977777,"Sanatani, Shubhayan",CO,Co-Investigator,Co-chercheur,CAAG,B.C. Children's Hospital (Vancouver),British Columbia,Colombie-Britannique,Canada,Canada,200405
977777,"Laskowski, Alfred E",CO,Co-Investigator,Co-chercheur,WRIN,Wrinch Memorial Hospital (BC),British Columbia,Colombie-Britannique,Canada,Canada,200405
977777,"Todd-Dennis, Angie R",CO,Co-Investigator,Co-chercheur,CWBC,Children's & Women's Health Centre of British Columbia,British Columbia,Colombie-Britannique,Canada,Canada,200405
107011,"Brazil, Kevin",PI,Principal Investigator,Chercheur principal,CEBA,McMaster University,Ontario,Ontario,Canada,Canada,200405
107011,"Hall, Pippa G",CO,Co-Investigator,Co-chercheur,CECA,University of Ottawa/Université d'Ottawa,Ontario,Ontario,Canada,Canada,200405
107011,"Legault, Frances Mary",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CECA,University of Ottawa/Université d'Ottawa,Ontario,Ontario,Canada,Canada,200405
107011,"Bauer, Sheila",CO,Co-Investigator,Co-chercheur,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unknown,Inconnu,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200405
107011,"Locke, Liliane",CO,Co-Investigator,Co-chercheur,XXXX,Undetermined/Indeterminé,Unknown,Inconnu,Unknown,Inconnu,200405
107011,"Weaver, Lynda",CO,Co-Investigator,Co-chercheur,IQAI,Sisters of Charity of Ottawa (SCO Health Service),Ontario,Ontario,Canada,Canada,200405
