animal_id,animal_type,breed_group,primary_breed,tag_no,tag_type,tag_subtype,price,tag_date,tag_exp,tag_stat
A570195,DOG,TERRIER,WEST HIGHLAND,L17-002786,LIC SR,HLP SCAN,5.0,2017-09-27 00:00:00,2018-07-21 00:00:00,CURRENT
A605067,CAT,SHORTHAIR,DOMESTIC SH,L17-019129,LIC ALTERED,HLP WEB,10.5,2017-06-13 00:00:00,2018-06-10 00:00:00,CURRENT
A556591,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A598359,DOG,,DACHSHUND MINI,L17-000002,LIC ALTERED,HLP SCAN,10.0,2017-10-02 00:00:00,2018-07-28 00:00:00,CURRENT
A600653,CAT,LONGHAIR,DOMESTIC MH,,,,,,,
A607402,DOG,TOY,CHIHUAHUA SH,,,,,,,
A583054,DOG,SETTER/RETRIEVE,LABRADOR RETR,L15-059967,LIC ALTERED,VET,9.0,2016-02-10 00:00:00,2016-11-17 00:00:00,GAVE AWAY
A552686,DOG,TOY,BOSTON TERRIER,,,,,,,
A578582,DOG,SETTER/RETRIEVE,LABRADOR RETR,985112005705758,MICROCHIP,HLP IMPORT,0.0,2015-12-11 00:00:00,,CURRENT
A619922,DOG,TOY,SHIH TZU,L17-006546,LIC SR,MAIL,5.0,2017-06-14 00:00:00,2018-06-01 00:00:00,CURRENT
A598191,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A610296,CAT,SHORTHAIR,DOMESTIC SH,L17-044027,LIC ALTERED,MAIL,10.0,2017-02-14 00:00:00,2018-01-12 00:00:00,CURRENT
A405567,DOG,SETTER/RETRIEVE,LABRADOR RETR,L16-005773,LIC ALTERED,COUNTER,10.0,2016-09-22 00:00:00,2017-09-13 00:00:00,CURRENT
A364411,DOG,TOY,CHIHUAHUA SH,D09-059822,LIC ALTERED,,9.0,2008-10-13 00:00:00,2009-10-10 00:00:00,RENEWED
A611242,DOG,MASTIFF,PIT BULL,,,,,,,
A601895,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A493585,DOG,COLLIE,BORDER COLLIE,L14-000298,LIC ALTERED,COUNTER,9.0,2014-03-16 00:00:00,2015-03-15 00:00:00,RENEWED
A579785,DOG,POINTER,WEIMARANER,985112003976438,MICROCHIP,HLP SCAN,0.0,2016-06-01 00:00:00,,CURRENT
A630165,CAT,SHORTHAIR,AMER SH,9851127558334,MICROCHIP,HLP WEB,0.0,2017-11-09 00:00:00,,CURRENT
A579381,CAT,SHORTHAIR,DOMESTIC SH,L15-035527,LIC ALTERED,HLP SCAN,9.5,2015-12-20 00:00:00,2016-07-07 00:00:00,CURRENT
A559020,DOG,TOY,CHIHUAHUA SH,L15-043811,LIC UNALTERED,HLP SCAN,50.0,2015-05-01 00:00:00,2016-03-25 00:00:00,RENEWED
A617123,DOG,TOY,BOSTON TERRIER,L16-031296,LIC ALTERED,VET,10.0,2017-05-11 00:00:00,2017-11-11 00:00:00,RENEWED
A586985,DOG,SETTER/RETRIEVE,GOLDEN RETR,4A7F34465A,MICROCHIP,HOME AGAIN,0.0,2016-04-13 00:00:00,2017-04-13 00:00:00,CURRENT
A558074,DOG,HOUND,ENG COONHOUND,985112005139279,MICROCHIP RTO,HOME AGAIN,25.0,2015-04-23 00:00:00,2016-04-23 00:00:00,CURRENT
A561917,DOG,TOY,YORKSHIRE TERR,L15-013126,LIC UNALTERED,COUNTER,50.0,2015-06-01 00:00:00,2016-05-14 00:00:00,LOST
A549403,DOG,MASTIFF,GREAT DANE,L14-059835,LIC ALTERED,HLP SCAN,9.5,2014-12-31 00:00:00,2015-12-13 00:00:00,RENEWED
A599921,DOG,SETTER/RETRIEVE,GOLDEN RETR,L16-042270,LIC 3Y,HLP WEB,27.5,2016-09-11 00:00:00,2019-09-08 00:00:00,CURRENT
A586007,DOG,SETTER/RETRIEVE,LABRADOR RETR,R16-1586,RAB VAC CERT.,RESQ,0.0,2016-04-13 00:00:00,2017-04-13 00:00:00,CURRENT
A580150,CAT,LONGHAIR,DOMESTIC MH,L15-050620,LIC ALTERED,HLP SCAN,9.0,2016-01-04 00:00:00,2016-10-07 00:00:00,RENEWED
A605122,DOG,TOY,YORKSHIRE TERR,L16-021598,LIC ALTERED,VET,10.0,2016-11-22 00:00:00,2017-11-19 00:00:00,CURRENT
A610672,DOG,TOY,PUG,,,,,,,
A557316,DOG,MASTIFF,PIT BULL,R15-1989,RABIES CERT,COUNTER,0.0,2015-04-07 00:00:00,2016-04-07 00:00:00,RENEWED
A519776,DOG,TOY,YORKSHIRE TERR,L14-048460,LIC ALTERED,VET,9.0,2014-03-02 00:00:00,2015-02-25 00:00:00,RENEWED
A565916,CAT,LONGHAIR,DOMESTIC LH,,,,,,,
A298448,DOG,SHEPHERD,GERM SHEPHERD,L14-000556,LIC SR,MAIL,4.5,2014-02-25 00:00:00,2015-02-24 00:00:00,RENEWED
A588848,DOG,TOY,CHIHUAHUA SH,L16-033670,LIC UNALTERED,COUNTER,60.0,2016-09-20 00:00:00,2017-09-20 00:00:00,CURRENT
A580165,DOG,SHEPHERD,GERM SHEPHERD,L15-027220,LIC ALTERED,HLP SCAN,9.0,2016-01-04 00:00:00,2016-10-01 00:00:00,RENEWED
A585500,DOG,SETTER/RETRIEVE,LABRADOR RETR,L16-057021,LIC ALTERED,HLP SCAN,9.0,2016-03-16 00:00:00,2017-01-08 00:00:00,CURRENT
