Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (Â£)
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,01.05.2018,16.05.2018,GPC04180000229,59.90
Stockport MBC,Services to Place,Highways & Transport Services,WWW.HSS.COM,Staff Training,Human Resources  ,30.04.2018,16.05.2018,GPC04180000230,599.90
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,30.04.2018,16.05.2018,GPC04180000231,149.70
Stockport MBC,Services to Place,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,24.04.2018,16.05.2018,GPC04180000232,79.20
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,24.04.2018,16.05.2018,GPC04180000233,54.80
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,24.04.2018,16.05.2018,GPC04180000234,262.30
Stockport MBC,Services to Place,Environmental & Regulatory Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,24.04.2018,16.05.2018,GPC04180000235,130.00
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.04.2018,16.05.2018,GPC04180000236,60.90
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.04.2018,16.05.2018,GPC04180000237,7.35
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,20.04.2018,16.05.2018,GPC04180000238,194.20
Stockport MBC,Services to Place,Environmental & Regulatory Services,EB  CARBON LITERACY FO,Expenses and Allowances,Human Resources Training & Conferences ,20.04.2018,16.05.2018,GPC04180000239,149.00
Stockport MBC,Corporate and Support Services,Central Services to the public,HOLIDAY INNS,Expenses and Allowances,Human Resources Training & Conferences ,20.04.2018,16.05.2018,GPC04180000240,55.00
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,16.04.2018,16.05.2018,GPC04180000241,178.10
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,16.04.2018,16.05.2018,GPC04180000242,20.45
Stockport MBC,Services to Place,Highways & Transport Services,WWW.TRANSPORTXTRA.COM,Expenses and Allowances,Human Resources Training & Conferences ,10.04.2018,16.05.2018,GPC04180000243,234.00
Stockport MBC,Corporate and Support Services,Central Support Costs,UOM STORE,Staff Training,Human Resources  ,10.04.2018,16.05.2018,GPC04180000244,100.00
Stockport MBC,Services to Place,Environmental & Regulatory Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,03.04.2018,16.05.2018,GPC04180000245,188.50
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,03.04.2018,16.05.2018,GPC04180000246,8.75
Stockport MBC,Services to People,Adult Social Care,CO-OP GROUP 070285,Catering Supplies,Catering Food & Beverages ,01.05.2018,16.05.2018,GPC04180000247,32.23
Stockport MBC,Services to People,Adult Social Care,CO-OP GROUP 070285,Catering Supplies,Catering Food & Beverages ,26.04.2018,16.05.2018,GPC04180000248,22.52
Stockport MBC,Services to People,Adult Social Care,APPNA CASH & CARRY (MA,Catering Supplies,Catering Food & Beverages ,25.04.2018,16.05.2018,GPC04180000249,22.33
Stockport MBC,Services to People,Adult Social Care,CO-OP GROUP 070285,Catering Supplies,Catering Food & Beverages ,19.04.2018,16.05.2018,GPC04180000250,10.11
Stockport MBC,Services to People,Adult Social Care,CO-OP GROUP 070285,Catering Supplies,Catering Food & Beverages ,17.04.2018,16.05.2018,GPC04180000251,42.93
Stockport MBC,Services to People,Adult Social Care,CO-OP GROUP 070285,Catering Supplies,Catering Food & Beverages ,12.04.2018,16.05.2018,GPC04180000252,7.50
Stockport MBC,Services to People,Adult Social Care,THE CHILDRENS SOCI,Catering Supplies,Catering Food & Beverages ,12.04.2018,16.05.2018,GPC04180000253,4.97
Stockport MBC,Services to People,Adult Social Care,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,23.04.2018,16.05.2018,GPC04180000254,17.99
Stockport MBC,Services to People,Adult Social Care,ASDA STORE,Catering Supplies,Catering Food & Beverages ,09.04.2018,16.05.2018,GPC04180000255,12.83
Stockport MBC,Services to People,Adult Social Care,APPNA CASH & CARRY (MA,Catering Supplies,Catering Food & Beverages ,09.04.2018,16.05.2018,GPC04180000256,21.80
Stockport MBC,Services to People,Adult Social Care,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,02.04.2018,16.05.2018,GPC04180000257,13.09
