name,address1,address2,borough_name,website,borough_code,ward_2018_name,contact_name
Peter Collins Community Centre,Hindhead Close,Hackney,Hackney,,E09000012,Stamford Hill West,
Pembury Community Centre,1 Atkins Square,Hackney,Hackney,https://www.peabody.org.uk/neighbourhoods/community-centres/pembury-venue-hire,E09000012,Hackney Central,
Lascar Wharf Community Centre,21 Parnham Street,Tower Hamlets,Tower Hamlets,https://www.newlon.org.uk/residents/community-services/community-facilities/,E09000030,St. Dunstan's,
The Mount Community Centre,21 Mount Pleasant Lane,Hackney,Hackney,,E09000012,Springfield,
Beethoven Centre,Third Avenue,City Of Westminster,Westminster,https://a2dominion.co.uk/beethovencentre,E09000033,Queen's Park,Fiona Doherty
Hind House Community Rooms,74 Hornsey Road,Islington,Islington,,E09000019,Highbury West,
Jack Watts Community Centre,10 Detmold Road,Hackney,Hackney,,E09000012,Lea Bridge,
Ben Simons Community Centre,Bethune Road,Hackney,Hackney,,E09000012,Woodberry Down,
Central Ward Residents Club,Ashridge Way,Merton,Merton,central-ward.co.uk,E09000024,Cannon Hill,
Chadwell Heath Community Centre,255 High Road,Barking And Dagenham,Barking and Dagenham,,E09000002,Whalebone,
The Dalgarno Trust,Dalgarno Way,Kensington And Chelsea,Kensington and Chelsea,,E09000020,Dalgarno,Rosana Ordoubadi
