Ã¯Â»Â¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃÂ©ro-de-MinistÃÂ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,305665.43
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,61094.71
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,209149.6
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,7298.18
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,13869.05
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,1641.14
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,124.68
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,1575.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",8991.5
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",7916.26
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",13.98
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",2909.27
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",10999.66
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",152163.89
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",1166968.47
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",183656.73
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",20208.47
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",396253.13
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",21739.53
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",5189.35
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",2342.38
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1231,"Off.furn.&furnish.,incl. parts",61678.96
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1239,Other office equipment and parts,10199.65
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1239,Other office equipment and parts,734.99
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1241,"Plumbing equipment & fittings,incl parts",746.82
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1241,"Plumbing equipment & fittings,incl parts",5416.22
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1241,"Plumbing equipment & fittings,incl parts",370.13
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1241,"Plumbing equipment & fittings,incl parts",7116.71
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1241,"Plumbing equipment & fittings,incl parts",144715.51
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1241,"Plumbing equipment & fittings,incl parts",81382.33
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1241,"Plumbing equipment & fittings,incl parts",5970.53
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1241,"Plumbing equipment & fittings,incl parts",22071.46
