COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE
Unknown,Allegany,Bolivar,31003600000000,Phillips Farm 20,UL,IW
Bradley Salt Co.,Wyoming,Warsaw,31121000000000,Salt Well,UM,BR
Unknown,Allegany,Bolivar,31003700000000,OR 52,UL,NL
United Processing Corp.,Allegany,Andover,31003700000000,Perry w-6,UM,IW
Unknown,Allegany,Wirt,31003700000000,Reiman L 109,UN,NL
Unknown,Erie,Amherst,31029000000000,2,UM,GD
"Fullone, Frank",Cattaraugus,Perrysburg,31009000000000,Fee 1,UN,GD
"Republic Light, Heat & Power",Chautauqua,Sheridan,31013000000000,Woods Ira,UM,GD
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Rex 218,UL,NL
Case Oil Corp.,Allegany,Bolivar,31003700000000,Case 17o,UL,OD
Sandy Creek Oil & Gas,Oswego,Sandy Creek,31075000000000,Hollis H Robbins 7,UL,GD
Unknown,Allegany,Bolivar,31003700000000,Dunn P 67,UM,NL
Ontario Gas,Ontario,West Bloomfield,31069000000000,Worthington 1,UM,GD
C.G.Pipe and Oil Co.,Allegany,Genesee,31003500000000,Camoil(Peary) b-6,UL,IW
Case Oil Corp.,Allegany,Bolivar,31003600000000,Homestead 1373,UL,IW
Unknown,Cattaraugus,Allegany,31009700000000,KC 704,UN,NL
Alden Batavia Natural Gas Co.,Genesee,Pavilion,31037000000000,Pearson,UM,GD
Higgins et al,Steuben,Thurston,31101000000000,Keith 1,UL,DW
Unknown,Cattaraugus,Allegany,31009700000000,KC 560,UN,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 209,UN,NL
Unknown,Ontario,West Bloomfield,31069000000000,McAllister 4,UM,GD
Unknown,Erie,Alden,31029600000000,U1,UL,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 385,UM,NL
Unknown,Allegany,Bolivar,31003700000000,Dunn J 50,UM,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 51,UN,NL
Unknown,Cattaraugus,Allegany,31009600000000,Kurty U02,UL,OD
NY Gas & Elec.,Erie,Lancaster,31029000000000,Klinkman F 2,UN,GD
"Haught, Ralph",Allegany,Independence,31003700000000,Haught/Ford 01,UL,IW
"Tjhung, Frank T.",Allegany,Wellsville,31003700000000,GPS 1149,UM,IW
Aluminum Match Plate,Erie,Tonawanda,31029100000000,Fee 4,UN,GD
Unknown,Allegany,Bolivar,31003700000000,Dunn J 17,UM,NL
South Penn Oil Co.,Cattaraugus,Carrollton,31009100000000,Allegany State Park 132,UN,GD
Unknown,Allegany,Alma,31003700000000,Balcerak G 15,UM,NL
"Hodges, Michael W.",Cayuga,Cato,31011100000000,House Louis and Mary 1,UL,DW
Unknown,Cattaraugus,Allegany,31009700000000,KC 595,UM,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 77,UN,NL
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run Go-23,UL,OD
"Donovan, Inc. et al",Steuben,Bath,31101000000000,Thompson 1,UM,DW
Unknown,Cattaraugus,Allegany,31009700000000,KC 681,UM,NL
Penn York Natural Gas,Steuben,West Union,31101000000000,Saxon 1,UM,DW
Unknown,Steuben,West Union,31101600000000,Allen U1,UL,OD
Unknown,Erie,Tonawanda City,31029000000000,None Specified,UM,GD
Meridian Gas Co.,Onondaga,Lysander,31067000000000,Fellows,UM,GD
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run Go-18,UL,OD
"Souhan, J.F.",Seneca,Seneca Falls,31099000000000,Fee 1,UL,GD
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Keenan 145,UL,OD
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Young P-16,UL,IW
Unknown,Allegany,Genesee,31003600000000,Benson & Briggs U1,UL,NL
Unknown,Cattaraugus,Allegany,31009600000000,Kurty U21,UL,OD
"Tjhung, Frank T.",Allegany,Wellsville,31003700000000,GPS 1140,UL,OD
NYS Natural Gas Corp.,Tompkins,Groton,31109000000000,Smith Grant Est,UN,DH
Unknown,Allegany,Alma,31003700000000,Root F 74,UM,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 747,UN,NL
Unknown,Allegany,Alma,31003700000000,Balcerak G 6,UM,NL
NYS Natural Gas Corp.,Steuben,Erwin,31101000000000,Dann 1,UM,DW
